nni_counter,nni_mean,nni_min,nni_max,hr_mean,hr_min,hr_max,hr_std,nni_diff_min,nni_diff_max,sdnn,rmssd,sdsd,nn50,pnn50,nn20,pnn20,tinn_n,tinn_m,tinn,tri_index,abs_energy,autocorr,mean,median,std,entropy,interq_range,mean_abs_dev,mean_abs_diff,mean_diff,median_abs_dev,median_abs_diff,median_diff,kurtosis,skewness,slope,sd1,sd2,total_power,vlf,lf,hf,lf_hf,lfnu,hfnu,bw,spec_ent,spec_decr, spec_dist,spec_kurt, spec_roll_95,spec_skew,spec_var,spec_centroid,energy,fundamental_freq,med_freq,auc,human_energy,ID,session
470,637.4887021276595,439.45,1228.5,94.56031996123951,48.84004884004884,136.5343042439413,6.202187052587793,0,667,47.4265415265448,53.06914459353124,47.657899792231525,26,5.543710021321962,174,37.10021321961621,562.5,703.125,140.625,8.867924528301886,192059078.14850003,192059078.14850003,637.4887021276595,632.81,47.376060893264814,0.6911983229008618,46.870000000000005,30.968793390674502,23.449978678038374,-0.0624733475479745,23.42999999999995,15.620000000000005,0.0,50.72495349151314,4.204657816241114,0.0802152879533948,37.565595992565065,55.564194226691846,1005.5171265154644,38.51940432005777,480.12766527025366,486.8700569251531,0.9861515581847828,49.65137499809245,50.34862500190756,0.5917258671124113,0.6562247111868869,-10.834107286977265,-1401470117.2543764,23.417819068199595,0.9941422594142258,4.053615651139597,0.7167909564776084,0.2042833031721848,3293713.5675376635,0.003347280334728,0.0,191347.8617108745,0.0001198203041703,10,2
469,640.1222601279318,439.45,1228.5,94.1111381097666,48.84004884004884,136.5343042439413,5.71246079157492,0,667,44.62123386402009,51.026131431736914,45.74606159648635,20,4.273504273504273,175,37.39316239316239,570.3125,703.125,132.8125,8.228070175438596,193107615.72180003,193107615.7218,640.1222601279318,636.7199999999999,44.57363786768616,0.6774465190738697,44.91999999999996,28.465931142338874,22.703205128205123,0.0834615384615383,21.48000000000013,15.629999999999995,0.0,63.88115011289213,4.904347041475792,0.0362863424286094,36.11948511719056,51.74448587013109,1151.5036478266834,66.85855346355592,520.0510297498994,564.5940646132282,0.9211060872667112,47.94665392879119,52.053346071208814,0.6441385064664163,0.6653201372429112,-11.386954077546642,-1387203933.8874638,24.9061239237127,0.9757727652464494,4.188015755210962,0.7334565051171617,0.1992574999750947,3315531.063454232,0.0033416875522138,0.0,192360.522042175,9.97578709594499e-05,10,2
463,646.9790280777537,439.45,1228.5,93.13139532000916,48.84004884004884,136.5343042439413,5.837697007067763,0,667,45.63851576626583,51.88156050415524,45.99120875019126,23,4.978354978354979,194,41.99134199134199,578.125,726.5625,148.4375,9.645833333333334,194765690.3077,194765690.3077,646.9790280777537,642.58,45.58920347118866,0.6879190585479437,49.80499999999995,29.9945275669523,24.105670995670994,0.2113852813852813,23.44000000000005,17.579999999999927,1.949999999999932,56.290558559859534,4.388096150902263,0.0406487086496584,36.72526623683481,53.07544688958341,504.3591583424087,90.34815766153834,204.29088934738064,209.7201113334897,0.9741120584402336,49.34431428426052,50.65568571573947,0.5286491007946466,0.6727380303667719,-11.122725337811891,-1399649565.7455134,23.18177556755901,1.035175879396985,4.09111511582548,0.935349119942386,0.2106713984187257,3387043.459805402,0.0067001675041876,0.0,193929.5807452729,0.0001005746878751,10,2
459,654.0936819172114,439.45,796.88,92.0018918918512,75.29364521634375,136.5343042439413,5.110299134818378,0,357,35.24762339554607,34.29603178810964,25.04906951546012,30,6.550218340611353,215,46.943231441048034,593.75,734.375,140.625,8.826923076923077,196946908.91772813,196946908.91772813,654.0936819172114,650.39,35.20920635590671,0.6841265172588856,50.780000000000086,28.107774122963157,23.454890829694325,0.1620524017467247,23.43999999999994,19.529999999999973,1.954999999999984,2.529367656057937,-0.0597589968750447,0.0312369690550728,24.27720390306913,43.5362754575687,449.2585930146018,58.80795973063002,166.82471210959682,223.625921174375,0.7459989934687099,42.72619836891556,57.27380163108445,0.3537755527743012,0.6488554934446145,-15.543429716209884,-1287665591.7259016,29.721645748154927,0.8955722639933166,4.670431074318201,0.6943098073845017,0.1659657082285761,3448358.1517351163,0.0033416875522138,0.0,196358.02067454663,4.796758257914681e-05,10,2
458,657.3252328483286,525.39,1271.5,91.65726973106509,47.1883602044829,114.20087934677098,5.526330637943406,0,611,46.94833952971042,52.09776893669287,44.86693540217583,38,8.315098468271334,216,47.26477024070022,585.9375,742.1875,156.25,9.16,198898314.4656729,198898314.4656729,657.3252328483286,650.5353492942763,46.89705787647056,0.6917802357734515,50.780000000000086,31.426995778359423,26.562013129102844,-0.0299343544857766,25.24465070572376,19.529999999999973,1.9500000000000453,62.534804443538206,5.064347702323894,0.0779300658445044,36.879050786676686,55.210766905266425,394.2701668022181,51.950049423892246,130.1752686886873,212.1448486896385,0.6136150346932523,38.02734986352556,61.97265013647445,0.3693843594009983,0.6514004943629518,-11.733039695792542,-1440015871.5027208,30.908005569559112,0.8159866777685263,4.680718100088402,0.6921968767638484,0.1696776801454761,3498724.765814854,0.0033305578684429,0.0,198140.5376102392,5.906948498845235e-05,10,2
458,658.7667612326081,525.39,1271.5,91.46059671615082,47.1883602044829,114.20087934677098,5.559571578394917,0,611,47.138492919519926,52.43013795136327,44.98369554045107,43,9.409190371991247,220,48.14004376367615,593.75,742.1875,148.4375,8.980392156862745,199775400.87707296,199775400.87707293,658.7667612326081,653.325,47.0870035618054,0.695027303521845,54.1925,31.955588897181137,27.01507658643326,-0.0042669584245075,26.375,19.530000000000086,1.9600000000000364,60.8900937332613,4.933428537398318,0.0527827781229501,37.1143346922333,55.37690122966568,680.5007159330579,44.42475735603768,202.205201324728,433.8707572522922,0.46604938900537,31.789473976832237,68.21052602316777,0.49813200498132,0.6563301919025625,-11.681793493896738,-1452206522.4435515,31.06527317511994,0.8113050706566917,4.677936200305962,0.7027634342487973,0.1686602947620748,3514838.5837265835,0.0033250207813798,0.0,199017.83745197396,6.054135134141637e-05,10,2
456,660.649488255558,525.39,1271.5,91.193080669601,47.1883602044829,114.20087934677098,5.503316423399605,0,611,46.795876981670936,52.5935280307615,45.00715833829288,43,9.45054945054945,225,49.45054945054945,601.5625,750.0,148.4375,9.5,200021115.9441729,200021115.9441729,660.649488255558,658.2,46.74453755098478,0.6966561261922622,52.74000000000001,31.283368324900163,27.292615384615388,-2.498611818057495e-16,27.340000000000032,19.530000000000086,3.899999999999977,62.24862088440368,4.968939273716664,-0.0476398861423431,37.23017510141885,54.71400430314941,845.9766038778687,38.136070656355535,305.46112841071823,502.3794048107949,0.6080287636905823,37.81205768329027,62.18794231670972,0.508939708939709,0.6547777309250956,-11.870296376117633,-1441027676.0815363,30.84908173217732,0.8159866777685263,4.677321332006244,0.7522643231668585,0.1701609732176943,3533003.7973790825,0.0033305578684429,0.0,199206.73440261328,5.922670031269295e-05,10,2
457,659.1054631171432,525.39,1271.5,91.43665036046478,47.1883602044829,114.20087934677098,5.731127970796473,0,611,48.40605417877073,52.85096707730142,45.380386323012175,49,10.74561403508772,213,46.71052631578947,601.5625,726.5625,125.0,7.745762711864407,199598419.87347293,199598419.87347293,659.1054631171432,654.3,48.35306450314015,0.7013364554940796,56.63999999999999,32.69537711874917,27.172807017543857,-0.0771052631578949,27.34999999999991,19.52999999999992,1.9599999999999227,54.72182666041872,4.626582333638684,-0.0587620380134293,37.41228219548197,57.32899182125742,814.1648722252928,27.769207601003416,248.27590248074245,538.119762143547,0.4613766673272877,31.57137223020672,68.4286277697933,0.4557172557172557,0.6514967359585724,-11.350335797730809,-1457813095.181221,29.88640021391358,0.835970024979184,4.649015795030574,0.7456965433606706,0.1775592767103098,3519967.550157825,0.0033305578684429,0.0,198794.74219577195,6.137017556842345e-05,10,2
456,662.0377097827242,525.39,1271.5,91.08881930417024,47.1883602044829,114.20087934677098,6.112222855547496,0,611,51.58770316333468,52.747470602920565,45.525518766503296,44,9.670329670329672,210,46.15384615384615,601.5625,726.5625,125.0,8.290909090909091,201072919.1620447,201072919.1620447,662.0377097827242,656.25,51.53110665352145,0.709255923532112,56.63999999999999,35.19776275944373,26.725978021978023,-0.1373626373626373,29.299999999999955,17.58000000000004,1.9599999999999227,41.59088252801564,3.956144046859209,0.0082588267590502,37.33902214492039,62.67678725491445,612.9320151615706,82.65440182357182,197.23677235376653,333.0408409842322,0.5922299852801077,37.19500265383594,62.80499734616405,0.3218581501451679,0.6152716046708719,-11.235317377440976,-1478306873.354036,29.35316837058888,0.8438538205980066,4.617042292934982,0.6843077901022299,0.1780950618423631,3559571.597947347,0.0033222591362126,0.0,200341.25158810307,6.053282060460144e-05,10,2
458,657.1539558744195,568.36,810.55,91.7082628473938,74.02381099253594,105.566894221972,5.997359702528002,0,87,44.70353095214363,28.185888861441136,17.81138506868289,37,8.096280087527353,197,43.10722100656455,585.9375,718.75,132.8125,8.641509433962264,198701176.74397284,198701176.7439728,657.1539558744195,652.34,44.65470130245103,0.7100418257928929,56.63999999999999,34.7802128732619,21.860765864332603,-0.1068490153172867,27.340000000000032,17.579999999999927,1.9599999999999227,0.4817976651173485,0.7758137744154857,0.0221722093996558,19.952131360344094,59.98936416864328,926.5723119248646,42.62543667405611,334.6891277565431,549.2577474942653,0.6093480324736567,37.86303647055479,62.1369635294452,0.2929671244277986,0.5475316211826945,-15.65682145771574,-1339544576.3853788,51.55750825965284,0.51,6.289364906150606,0.7748978888960913,0.1086938636098505,3500247.0741789974,0.0033333333333333,0.0,198117.7749112297,1.087746251997462e-05,10,2
